No.,Video name,Uploader,Views (billions),Publication date
1.,"""Baby Shark Dance""[4]",Pinkfong Baby Shark - Kids' Songs & Stories,12.00,"June 17, 2016"
2.,"""Despacito""[7]",Luis Fonsi,8.05,"January 12, 2017"
3.,"""Johny Johny Yes Papa""[14]",LooLoo Kids,6.57,"October 8, 2016"
4.,"""Bath Song""[15]",Cocomelon – Nursery Rhymes,5.89,2.May.18
5.,"""Shape of You""[16]",Ed Sheeran,5.88,"January 30, 2017"
6.,"""See You Again""[18]",Wiz Khalifa,5.74,"April 6, 2015"
7.,"""Phonics Song with Two Words""[23]",ChuChu TV,5.08,"March 6, 2014"
8.,"""Uptown Funk""[24]",Mark Ronson,4.79,"November 19, 2014"
9.,"""Wheels on the Bus""[25]",Cocomelon – Nursery Rhymes,4.77,24.May.18
10.,"""Learning Colors – Colorful Eggs on a Farm""[26]",Miroshka TV,4.76,"February 27, 2018"
11.,"""Gangnam Style""[27]",Psy,4.64,"July 15, 2012"
12.,"""Masha and the Bear – Recipe for Disaster""[32]",Get Movies,4.52,"January 31, 2012"
13.,"""Dame Tu Cosita""[33]",El Chombo,4.18,"April 5, 2018"
14.,"""Sugar""[34]",Maroon 5,3.80,"January 14, 2015"
15.,"""Roar""[35]",Katy Perry,3.70,"September 5, 2013"
16.,"""Counting Stars""[36]",OneRepublic,3.70,31.May.13
17.,"""Axel F""[37]",Crazy Frog,3.67,"June 16, 2009"
18.,"""Sorry""[38]",Justin Bieber,3.62,"October 22, 2015"
19.,"""Thinking Out Loud""[39]",Ed Sheeran,3.53,"October 7, 2014"
20.,"""Baa Baa Black Sheep""[40]",Cocomelon – Nursery Rhymes,3.46,"June 25, 2018"
21.,"""Dark Horse""[41]",Katy Perry,3.42,"February 20, 2014"
22.,"""Waka Waka (This Time for Africa)""[42]",Shakira,3.40,"June 4, 2010"
23.,"""Faded""[43]",Alan Walker,3.38,"December 3, 2015"
24.,"""Let Her Go""[44]",Passenger,3.36,"July 25, 2012"
25.,"""Girls Like You""[45]",Maroon 5,3.35,31.May.18
26.,"""Perfect""[46]",Ed Sheeran,3.33,"November 9, 2017"
27.,"""Bailando""[47]",Enrique Iglesias,3.31,"April 11, 2014"
28.,"""Lean On""[48]",Major Lazer,3.31,"March 22, 2015"
29.,"""Humpty the train on a fruits ride""[49]",Kiddiestv Hindi – Nursery Rhymes & Kids Songs,3.26,"January 26, 2018"
30.,"""Lakdi Ki Kathi""[50]",Jingle Toons,3.24,"June 14, 2018"
